x 	 y 	 te 	 ti 	 na0 	 na1 	 po 	 ua0 	 ua1
1.01	-2	0	0	0	0	0	0	0
1.02	-2	0	0	0	0	0	0	0
1.03	-2	0	0	0	0	0	0	0
1.04	-2	0	0	0	0	0	0	0
1.05	-2	0	0	0	0	0	0	0
1.06	-2	0	0	0	0	0	0	0
1.07	-2	0	0	0	0	0	0	0
1.08	-2	0	0	0	0	0	0	0
1.09	-2	0	0	0	0	0	0	0
1.1	-2	0	0	0	0	0	0	0
1.11	-2	0	0	0	0	0	0	0
1.12	-2	0	0	0	0	0	0	0
1.13	-2	0	0	0	0	0	0	0
1.14	-2	0	0	0	0	0	0	0
1.15	-2	0	0	0	0	0	0	0
1.16	-2	0	0	0	0	0	0	0
1.17	-2	0	0	0	0	0	0	0
1.18	-2	0	0	0	0	0	0	0
1.19	-2	0	0	0	0	0	0	0
1.2	-2	0	0	0	0	0	0	0
1.21	-2	0	0	0	0	0	0	0
1.22	-2	0	0	0	0	0	0	0
1.23	-2	0	0	0	0	0	0	0
1.24	-2	0	0	0	0	0	0	0
1.25	-2	0	0	0	0	0	0	0
1.26	-2	0	0	0	0	0	0	0
1.27	-2	0	0	0	0	0	0	0
1.28	-2	0	0	0	0	0	0	0
1.29	-2	0	0	0	0	0	0	0
1.3	-2	0	0	0	0	0	0	0
1.31	-2	0	0	0	0	0	0	0
1.32	-2	0	0	0	0	0	0	0
1.33	-2	0	0	0	0	0	0	0
1.34	-2	0	0	0	0	0	0	0
1.35	-2	0	0	0	0	0	0	0
1.36	-2	0	0	0	0	0	0	0
1.37	-2	0	0	0	0	0	0	0
1.38	-2	0	0	0	0	0	0	0
1.39	-2	0	0	0	0	0	0	0
1.4	-2	0	0	0	0	0	0	0
0.2	-1.99	0	0	0	0	0	0	0
0.21	-1.99	0	0	0	0	0	0	0
0.22	-1.99	0	0	0	0	0	0	0
0.23	-1.99	0	0	0	0	0	0	0
0.24	-1.99	0	0	0	0	0	0	0
0.25	-1.99	0	0	0	0	0	0	0
0.26	-1.99	0	0	0	0	0	0	0
0.27	-1.99	0	0	0	0	0	0	0
0.28	-1.99	0	0	0	0	0	0	0
0.29	-1.99	0	0	0	0	0	0	0
0.3	-1.99	0	0	0	0	0	0	0
0.31	-1.99	0	0	0	0	0	0	0
0.32	-1.99	0	0	0	0	0	0	0
0.33	-1.99	0	0	0	0	0	0	0
0.34	-1.99	0	0	0	0	0	0	0
0.35	-1.99	0	0	0	0	0	0	0
0.36	-1.99	0	0	0	0	0	0	0
0.37	-1.99	0	0	0	0	0	0	0
0.38	-1.99	0	0	0	0	0	0	0
0.39	-1.99	0	0	0	0	0	0	0
0.4	-1.99	0	0	0	0	0	0	0
0.41	-1.99	0	0	0	0	0	0	0
0.42	-1.99	0	0	0	0	0	0	0
0.43	-1.99	0	0	0	0	0	0	0
0.44	-1.99	0	0	0	0	0	0	0
0.45	-1.99	0	0	0	0	0	0	0
0.46	-1.99	0	0	0	0	0	0	0
0.47	-1.99	0	0	0	0	0	0	0
0.48	-1.99	0	0	0	0	0	0	0
0.49	-1.99	0	0	0	0	0	0	0
0.5	-1.99	0	0	0	0	0	0	0
0.51	-1.99	0	0	0	0	0	0	0
0.52	-1.99	0	0	0	0	0	0	0
0.53	-1.99	0	0	0	0	0	0	0
0.54	-1.99	0	0	0	0	0	0	0
0.55	-1.99	0	0	0	0	0	0	0
0.56	-1.99	0	0	0	0	0	0	0
0.57	-1.99	0	0	0	0	0	0	0
0.58	-1.99	0	0	0	0	0	0	0
0.59	-1.99	0	0	0	0	0	0	0
0.6	-1.99	0	0	0	0	0	0	0
0.61	-1.99	0	0	0	0	0	0	0
0.62	-1.99	0	0	0	0	0	0	0
0.63	-1.99	0	0	0	0	0	0	0
0.64	-1.99	0	0	0	0	0	0	0
0.65	-1.99	0	0	0	0	0	0	0
0.66	-1.99	0	0	0	0	0	0	0
0.67	-1.99	0	0	0	0	0	0	0
0.68	-1.99	0	0	0	0	0	0	0
0.69	-1.99	0	0	0	0	0	0	0
0.7	-1.99	0	0	0	0	0	0	0
0.71	-1.99	0	0	0	0	0	0	0
0.72	-1.99	0	0	0	0	0	0	0
0.73	-1.99	0	0	0	0	0	0	0
0.74	-1.99	0	0	0	0	0	0	0
0.75	-1.99	0	0	0	0	0	0	0
0.76	-1.99	0	0	0	0	0	0	0
0.77	-1.99	0	0	0	0	0	0	0
0.78	-1.99	0	0	0	0	0	0	0
0.79	-1.99	0	0	0	0	0	0	0
0.8	-1.99	0	0	0	0	0	0	0
0.81	-1.99	0	0	0	0	0	0	0
0.82	-1.99	0	0	0	0	0	0	0
0.83	-1.99	0	0	0	0	0	0	0
0.84	-1.99	0	0	0	0	0	0	0
0.85	-1.99	0	0	0	0	0	0	0
0.86	-1.99	0	0	0	0	0	0	0
0.87	-1.99	0	0	0	0	0	0	0
0.88	-1.99	0	0	0	0	0	0	0
0.89	-1.99	0	0	0	0	0	0	0
0.9	-1.99	0	0	0	0	0	0	0
0.91	-1.99	0	0	0	0	0	0	0
0.92	-1.99	0	0	0	0	0	0	0
0.93	-1.99	0	0	0	0	0	0	0
0.94	-1.99	0	0	0	0	0	0	0
0.95	-1.99	0	0	0	0	0	0	0
0.96	-1.99	0	0	0	0	0	0	0
0.97	-1.99	0	0	0	0	0	0	0
0.98	-1.99	0	0	0	0	0	0	0
0.99	-1.99	0	0	0	0	0	0	0
1	-1.99	0	0	0	0	0	0	0
1.01	-1.99	0	0	0	0	0	0	0
1.02	-1.99	0	0	0	0	0	0	0
1.03	-1.99	0	0	0	0	0	0	0
1.04	-1.99	0	0	0	0	0	0	0
1.05	-1.99	0	0	0	0	0	0	0
1.06	-1.99	0	0	0	0	0	0	0
1.07	-1.99	0	0	0	0	0	0	0
1.08	-1.99	0	0	0	0	0	0	0
1.09	-1.99	0	0	0	0	0	0	0
1.1	-1.99	0	0	0	0	0	0	0
1.11	-1.99	0	0	0	0	0	0	0
1.12	-1.99	0	0	0	0	0	0	0
1.13	-1.99	0	0	0	0	0	0	0
1.14	-1.99	0	0	0	0	0	0	0
1.15	-1.99	0	0	0	0	0	0	0
1.16	-1.99	0	0	0	0	0	0	0
1.17	-1.99	0	0	0	0	0	0	0
1.18	-1.99	0	0	0	0	0	0	0
1.19	-1.99	0	0	0	0	0	0	0
1.2	-1.99	0	0	0	0	0	0	0
1.21	-1.99	0	0	0	0	0	0	0
1.22	-1.99	0	0	0	0	0	0	0
1.23	-1.99	0	0	0	0	0	0	0
1.24	-1.99	0	0	0	0	0	0	0
1.25	-1.99	0	0	0	0	0	0	0
1.26	-1.99	0	0	0	0	0	0	0
1.27	-1.99	0	0	0	0	0	0	0
1.28	-1.99	0	0	0	0	0	0	0
1.29	-1.99	0	0	0	0	0	0	0
1.3	-1.99	0	0	0	0	0	0	0
1.31	-1.99	0	0	0	0	0	0	0
1.32	-1.99	0	0	0	0	0	0	0
1.33	-1.99	0	0	0	0	0	0	0
1.34	-1.99	0	0	0	0	0	0	0
1.35	-1.99	0	0	0	0	0	0	0
1.36	-1.99	0	0	0	0	0	0	0
1.37	-1.99	0	0	0	0	0	0	0
1.38	-1.99	0	0	0	0	0	0	0
1.39	-1.99	0	0	0	0	0	0	0
1.4	-1.99	0	0	0	0	0	0	0
0.2	-1.98	0	0	0	0	0	0	0
0.21	-1.98	0	0	0	0	0	0	0
0.22	-1.98	0	0	0	0	0	0	0
0.23	-1.98	0	0	0	0	0	0	0
0.24	-1.98	0	0	0	0	0	0	0
0.25	-1.98	0	0	0	0	0	0	0
0.26	-1.98	0	0	0	0	0	0	0
0.27	-1.98	0	0	0	0	0	0	0
0.28	-1.98	0	0	0	0	0	0	0
0.29	-1.98	0	0	0	0	0	0	0
0.3	-1.98	0	0	0	0	0	0	0
0.31	-1.98	0	0	0	0	0	0	0
0.32	-1.98	0	0	0	0	0	0	0
0.33	-1.98	0	0	0	0	0	0	0
0.34	-1.98	0	0	0	0	0	0	0
0.35	-1.98	0	0	0	0	0	0	0
0.36	-1.98	0	0	0	0	0	0	0
0.37	-1.98	0	0	0	0	0	0	0
0.38	-1.98	0	0	0	0	0	0	0
0.39	-1.98	0	0	0	0	0	0	0
0.4	-1.98	0	0	0	0	0	0	0
0.41	-1.98	0	0	0	0	0	0	0
0.42	-1.98	0	0	0	0	0	0	0
0.43	-1.98	0	0	0	0	0	0	0
0.44	-1.98	0	0	0	0	0	0	0
0.45	-1.98	0	0	0	0	0	0	0
0.46	-1.98	0	0	0	0	0	0	0
0.47	-1.98	0	0	0	0	0	0	0
0.48	-1.98	0	0	0	0	0	0	0
0.49	-1.98	0	0	0	0	0	0	0
0.5	-1.98	0	0	0	0	0	0	0
0.51	-1.98	0	0	0	0	0	0	0
0.52	-1.98	0	0	0	0	0	0	0
0.53	-1.98	0	0	0	0	0	0	0
0.54	-1.98	0	0	0	0	0	0	0
0.55	-1.98	0	0	0	0	0	0	0
0.56	-1.98	0	0	0	0	0	0	0
0.57	-1.98	0	0	0	0	0	0	0
0.58	-1.98	0	0	0	0	0	0	0
0.59	-1.98	0	0	0	0	0	0	0
0.6	-1.98	0	0	0	0	0	0	0
0.61	-1.98	0	0	0	0	0	0	0
0.62	-1.98	0	0	0	0	0	0	0
0.63	-1.98	0	0	0	0	0	0	0
0.64	-1.98	0	0	0	0	0	0	0
0.65	-1.98	0	0	0	0	0	0	0
0.66	-1.98	0	0	0	0	0	0	0
0.67	-1.98	0	0	0	0	0	0	0
0.68	-1.98	0	0	0	0	0	0	0
0.69	-1.98	0	0	0	0	0	0	0
0.7	-1.98	0	0	0	0	0	0	0
0.71	-1.98	0	0	0	0	0	0	0
0.72	-1.98	0	0	0	0	0	0	0
0.73	-1.98	0	0	0	0	0	0	0
0.74	-1.98	0	0	0	0	0	0	0
0.75	-1.98	0	0	0	0	0	0	0
0.76	-1.98	0	0	0	0	0	0	0
0.77	-1.98	0	0	0	0	0	0	0
0.78	-1.98	0	0	0	0	0	0	0
0.79	-1.98	0	0	0	0	0	0	0
0.8	-1.98	0	0	0	0	0	0	0
0.81	-1.98	0	0	0	0	0	0	0
0.82	-1.98	0	0	0	0	0	0	0
0.83	-1.98	0	0	0	0	0	0	0
0.84	-1.98	0	0	0	0	0	0	0
0.85	-1.98	0	0	0	0	0	0	0
0.86	-1.98	0	0	0	0	0	0	0
0.87	-1.98	0	0	0	0	0	0	0
0.88	-1.98	0	0	0	0	0	0	0
0.89	-1.98	0	0	0	0	0	0	0
0.9	-1.98	0	0	0	0	0	0	0
0.91	-1.98	0	0	0	0	0	0	0
0.92	-1.98	0	0	0	0	0	0	0
0.93	-1.98	0	0	0	0	0	0	0
0.94	-1.98	0	0	0	0	0	0	0
0.95	-1.98	0	0	0	0	0	0	0
0.96	-1.98	0	0	0	0	0	0	0
0.97	-1.98	0	0	0	0	0	0	0
0.98	-1.98	0	0	0	0	0	0	0
0.99	-1.98	0	0	0	0	0	0	0
1	-1.98	0	0	0	0	0	0	0
1.01	-1.98	8.44355e-020	2.85357e-019	7.9532e+017	2.98843e+016	1.10861	1.37823	8334.6
1.02	-1.98	9.34781e-020	2.85362e-019	7.95564e+017	3.30948e+016	1.29367	2.06314	8430.43
1.03	-1.98	1.06577e-019	2.85341e-019	7.96087e+017	4.0644e+016	1.57227	3.21753	8521.9
1.04	-1.98	1.23171e-019	2.85254e-019	7.97127e+017	5.54228e+016	1.93395	5.01754	8600.53
1.05	-1.98	1.40262e-019	2.85044e-019	7.98932e+017	8.02604e+016	2.30987	7.56259	8654.87
1.06	-1.98	1.54651e-019	2.8466e-019	8.0175e+017	1.18214e+017	2.62337	10.9891	8681.1
1.07	-1.98	1.65414e-019	2.84043e-019	8.05958e+017	1.74632e+017	2.84964	15.6767	8689.07
1.08	-1.98	1.73112e-019	2.83102e-019	8.12213e+017	2.58965e+017	3.00013	22.3045	8695.75
1.09	-1.98	1.78364e-019	2.81695e-019	8.2159e+017	3.86151e+017	3.08927	31.8397	8715.83
1.1	-1.98	1.81588e-019	2.79621e-019	8.35793e+017	5.78466e+017	3.12766	45.5484	8757.84
1.11	-1.98	1.83215e-019	2.7661e-019	8.57465e+017	8.67265e+017	3.12716	64.953	8825.79
1.12	-1.98	1.83837e-019	2.7234e-019	8.90604e+017	1.29324e+018	3.10495	91.6646	8922.54
1.13	-1.98	1.84296e-019	2.66489e-019	9.41009e+017	1.90325e+018	3.08532	127.053	9052.57
1.14	-1.98	1.85798e-019	2.58823e-019	1.01661e+018	2.74206e+018	3.10007	171.727	9222.46
1.15	-1.98	1.9011e-019	2.49318e-019	1.12734e+018	3.83726e+018	3.18619	224.749	9434.25
1.16	-1.98	1.99568e-019	2.38251e-019	1.28331e+018	5.17168e+018	3.37353	282.395	9670.04
1.17	-1.98	2.16208e-019	2.26256e-019	1.4883e+018	6.63952e+018	3.65564	336.875	9881.18
1.18	-1.98	2.39814e-019	2.14294e-019	1.72874e+018	8.01854e+018	3.9634	377.103	10009.1
1.19	-1.98	2.66738e-019	2.03465e-019	1.96876e+018	9.0298e+018	4.1898	393.547	10035.2
1.2	-1.98	2.91713e-019	1.94676e-019	2.16299e+018	9.47476e+018	4.26375	383.769	10000.4
1.21	-1.98	3.11062e-019	1.88428e-019	2.27759e+018	9.31488e+018	4.19169	352.603	9965.92
1.22	-1.98	3.23884e-019	1.84842e-019	2.30079e+018	8.63617e+018	4.0306	307.827	9963.43
1.23	-1.98	3.31101e-019	1.83725e-019	2.24196e+018	7.58126e+018	3.84209	256.554	9983.17
1.24	-1.98	3.34185e-019	1.84568e-019	2.12665e+018	6.31277e+018	3.66888	204.226	9991.43
1.25	-1.98	3.34547e-019	1.86573e-019	1.98936e+018	4.99595e+018	3.53296	154.905	9954.85
1.26	-1.98	3.33423e-019	1.88825e-019	1.86263e+018	3.77466e+018	3.44119	111.539	9857.06
1.27	-1.98	3.31836e-019	1.90587e-019	1.76671e+018	2.74472e+018	3.38949	75.9754	9702.82
1.28	-1.98	3.30437e-019	1.91536e-019	1.70615e+018	1.94585e+018	3.36559	48.9524	9513.72
1.29	-1.98	3.29394e-019	1.91769e-019	1.67415e+018	1.37217e+018	3.35411	30.0947	9319.27
1.3	-1.98	0	0	0	0	0	0	0
1.31	-1.98	3.27675e-019	1.91273e-019	1.65511e+018	7.40193e+017	3.33031	10.695	8998.51
1.32	-1.98	0	0	0	0	0	0	0
1.33	-1.98	0	0	0	0	0	0	0
1.34	-1.98	0	0	0	0	0	0	0
1.35	-1.98	0	0	0	0	0	0	0
1.36	-1.98	0	0	0	0	0	0	0
1.37	-1.98	0	0	0	0	0	0	0
1.38	-1.98	0	0	0	0	0	0	0
1.39	-1.98	0	0	0	0	0	0	0
1.4	-1.98	0	0	0	0	0	0	0
0.2	-1.97	0	0	0	0	0	0	0
0.21	-1.97	0	0	0	0	0	0	0
0.22	-1.97	0	0	0	0	0	0	0
0.23	-1.97	0	0	0	0	0	0	0
0.24	-1.97	0	0	0	0	0	0	0
0.25	-1.97	0	0	0	0	0	0	0
0.26	-1.97	0	0	0	0	0	0	0
0.27	-1.97	0	0	0	0	0	0	0
0.28	-1.97	0	0	0	0	0	0	0
0.29	-1.97	0	0	0	0	0	0	0
0.3	-1.97	0	0	0	0	0	0	0
0.31	-1.97	0	0	0	0	0	0	0
0.32	-1.97	0	0	0	0	0	0	0
0.33	-1.97	0	0	0	0	0	0	0
0.34	-1.97	0	0	0	0	0	0	0
0.35	-1.97	0	0	0	0	0	0	0
0.36	-1.97	0	0	0	0	0	0	0
0.37	-1.97	0	0	0	0	0	0	0
0.38	-1.97	0	0	0	0	0	0	0
0.39	-1.97	0	0	0	0	0	0	0
0.4	-1.97	0	0	0	0	0	0	0
0.41	-1.97	0	0	0	0	0	0	0
0.42	-1.97	0	0	0	0	0	0	0
0.43	-1.97	0	0	0	0	0	0	0
0.44	-1.97	0	0	0	0	0	0	0
0.45	-1.97	0	0	0	0	0	0	0
0.46	-1.97	0	0	0	0	0	0	0
0.47	-1.97	0	0	0	0	0	0	0
0.48	-1.97	0	0	0	0	0	0	0
0.49	-1.97	0	0	0	0	0	0	0
0.5	-1.97	0	0	0	0	0	0	0
0.51	-1.97	0	0	0	0	0	0	0
0.52	-1.97	0	0	0	0	0	0	0
0.53	-1.97	0	0	0	0	0	0	0
0.54	-1.97	0	0	0	0	0	0	0
0.55	-1.97	0	0	0	0	0	0	0
0.56	-1.97	0	0	0	0	0	0	0
0.57	-1.97	0	0	0	0	0	0	0
0.58	-1.97	0	0	0	0	0	0	0
0.59	-1.97	0	0	0	0	0	0	0
0.6	-1.97	0	0	0	0	0	0	0
0.61	-1.97	0	0	0	0	0	0	0
0.62	-1.97	0	0	0	0	0	0	0
0.63	-1.97	0	0	0	0	0	0	0
0.64	-1.97	0	0	0	0	0	0	0
0.65	-1.97	0	0	0	0	0	0	0
0.66	-1.97	0	0	0	0	0	0	0
0.67	-1.97	0	0	0	0	0	0	0
0.68	-1.97	0	0	0	0	0	0	0
0.69	-1.97	0	0	0	0	0	0	0
0.7	-1.97	0	0	0	0	0	0	0
0.71	-1.97	0	0	0	0	0	0	0
0.72	-1.97	0	0	0	0	0	0	0
0.73	-1.97	0	0	0	0	0	0	0
0.74	-1.97	0	0	0	0	0	0	0
0.75	-1.97	0	0	0	0	0	0	0
0.76	-1.97	0	0	0	0	0	0	0
0.77	-1.97	0	0	0	0	0	0	0
0.78	-1.97	0	0	0	0	0	0	0
0.79	-1.97	0	0	0	0	0	0	0
0.8	-1.97	0	0	0	0	0	0	0
0.81	-1.97	0	0	0	0	0	0	0
0.82	-1.97	0	0	0	0	0	0	0
0.83	-1.97	0	0	0	0	0	0	0
0.84	-1.97	0	0	0	0	0	0	0
0.85	-1.97	0	0	0	0	0	0	0
0.86	-1.97	0	0	0	0	0	0	0
0.87	-1.97	0	0	0	0	0	0	0
0.88	-1.97	0	0	0	0	0	0	0
0.89	-1.97	0	0	0	0	0	0	0
0.9	-1.97	0	0	0	0	0	0	0
0.91	-1.97	0	0	0	0	0	0	0
0.92	-1.97	0	0	0	0	0	0	0
0.93	-1.97	0	0	0	0	0	0	0
0.94	-1.97	0	0	0	0	0	0	0
0.95	-1.97	0	0	0	0	0	0	0
0.96	-1.97	0	0	0	0	0	0	0
0.97	-1.97	0	0	0	0	0	0	0
0.98	-1.97	0	0	0	0	0	0	0
0.99	-1.97	0	0	0	0	0	0	0
1	-1.97	0	0	0	0	0	0	0
1.01	-1.97	8.71658e-020	2.85514e-019	7.94707e+017	3.13171e+016	1.16873	2.02323	7979.36
1.02	-1.97	9.67427e-020	2.85512e-019	7.95011e+017	3.54568e+016	1.36831	3.04334	8077.61
1.03	-1.97	1.10419e-019	2.85492e-019	7.95576e+017	4.47059e+016	1.66236	4.73914	8163.76
1.04	-1.97	1.27298e-019	2.85412e-019	7.96645e+017	6.22476e+016	2.03166	7.3416	8230.83
1.05	-1.97	1.44259e-019	2.85215e-019	7.98467e+017	9.12455e+016	2.40341	10.9901	8272.46
1.06	-1.97	1.58413e-019	2.84854e-019	8.0129e+017	1.35448e+017	2.70753	15.9099	8289.46
1.07	-1.97	1.69122e-019	2.84276e-019	8.05477e+017	2.01473e+017	2.92615	22.6688	8292.49
1.08	-1.97	1.77026e-019	2.83405e-019	8.11649e+017	3.0067e+017	3.07273	32.2279	8297.35
1.09	-1.97	1.82768e-019	2.82123e-019	8.2079e+017	4.50539e+017	3.16236	45.9155	8318.22
1.1	-1.97	1.86823e-019	2.80268e-019	8.34414e+017	6.76329e+017	3.20732	65.4064	8365.02
1.11	-1.97	1.89703e-019	2.77629e-019	8.548e+017	1.01195e+018	3.22224	92.6073	8445.08
1.12	-1.97	1.92118e-019	2.73963e-019	8.85299e+017	1.49867e+018	3.22754	129.365	8565.76
1.13	-1.97	1.95106e-019	2.6903e-019	9.30626e+017	2.1797e+018	3.25004	176.963	8735.77
1.14	-1.97	2.00148e-019	2.62664e-019	9.97e+017	3.08905e+018	3.32019	235.359	8963.27
1.15	-1.97	2.09152e-019	2.54846e-019	1.09182e+018	4.23324e+018	3.46544	302.108	9247.17
1.16	-1.97	2.23997e-019	2.45762e-019	1.22198e+018	5.56428e+018	3.69634	371.054	9562.06
1.17	-1.97	2.45356e-019	2.35815e-019	1.38923e+018	6.94991e+018	3.98558	431.809	9851.41
1.18	-1.97	2.71376e-019	2.25612e-019	1.58312e+018	8.1731e+018	4.25928	472.165	10052
1.19	-1.97	2.97833e-019	2.1589e-019	1.77818e+018	9.00054e+018	4.42974	483.716	10139.9
1.2	-1.97	3.2034e-019	2.07357e-019	1.94193e+018	9.28659e+018	4.45244	466.06	10146.4
1.21	-1.97	3.36507e-019	2.00547e-019	2.04799e+018	9.01751e+018	4.34704	425.363	10122.6
1.22	-1.97	3.46196e-019	1.95754e-019	2.0842e+018	8.2773e+018	4.16906	369.903	10098.1
1.23	-1.97	3.50509e-019	1.93002e-019	2.05436e+018	7.19872e+018	3.97339	307.132	10069.4
1.24	-1.97	3.50865e-019	1.92012e-019	1.97658e+018	5.93754e+018	3.79707	243.151	10014.4
1.25	-1.97	3.48627e-019	1.92205e-019	1.87819e+018	4.65591e+018	3.65828	183.04	9913.89
1.26	-1.97	3.45034e-019	1.92846e-019	1.78616e+018	3.49374e+018	3.56039	130.769	9766
1.27	-1.97	3.41121e-019	1.93313e-019	1.71754e+018	2.53686e+018	3.49581	88.6774	9586.24
1.28	-1.97	3.37564e-019	1.93309e-019	1.67615e+018	1.80906e+018	3.45118	57.2666	9397.99
1.29	-1.97	3.34634e-019	1.92888e-019	1.65643e+018	1.29069e+018	3.41444	35.5449	9222.85
1.3	-1.97	0	0	0	0	0	0	0
1.31	-1.97	3.30362e-019	1.91706e-019	1.64904e+018	7.14262e+017	3.34709	13.0465	8953.57
1.32	-1.97	0	0	0	0	0	0	0
1.33	-1.97	0	0	0	0	0	0	0
1.34	-1.97	0	0	0	0	0	0	0
1.35	-1.97	0	0	0	0	0	0	0
1.36	-1.97	0	0	0	0	0	0	0
1.37	-1.97	0	0	0	0	0	0	0
1.38	-1.97	0	0	0	0	0	0	0
1.39	-1.97	0	0	0	0	0	0	0
1.4	-1.97	0	0	0	0	0	0	0
0.2	-1.96	0	0	0	0	0	0	0
0.21	-1.96	0	0	0	0	0	0	0
0.22	-1.96	0	0	0	0	0	0	0
0.23	-1.96	0	0	0	0	0	0	0
0.24	-1.96	0	0	0	0	0	0	0
0.25	-1.96	0	0	0	0	0	0	0
0.26	-1.96	0	0	0	0	0	0	0
0.27	-1.96	0	0	0	0	0	0	0
0.28	-1.96	0	0	0	0	0	0	0
0.29	-1.96	0	0	0	0	0	0	0
0.3	-1.96	0	0	0	0	0	0	0
0.31	-1.96	0	0	0	0	0	0	0
0.32	-1.96	0	0	0	0	0	0	0
0.33	-1.96	0	0	0	0	0	0	0
0.34	-1.96	0	0	0	0	0	0	0
0.35	-1.96	0	0	0	0	0	0	0
0.36	-1.96	0	0	0	0	0	0	0
0.37	-1.96	0	0	0	0	0	0	0
0.38	-1.96	0	0	0	0	0	0	0
0.39	-1.96	0	0	0	0	0	0	0
0.4	-1.96	0	0	0	0	0	0	0
0.41	-1.96	0	0	0	0	0	0	0
0.42	-1.96	0	0	0	0	0	0	0
0.43	-1.96	0	0	0	0	0	0	0
0.44	-1.96	0	0	0	0	0	0	0
0.45	-1.96	0	0	0	0	0	0	0
0.46	-1.96	0	0	0	0	0	0	0
0.47	-1.96	0	0	0	0	0	0	0
0.48	-1.96	0	0	0	0	0	0	0
0.49	-1.96	0	0	0	0	0	0	0
0.5	-1.96	0	0	0	0	0	0	0
0.51	-1.96	0	0	0	0	0	0	0
0.52	-1.96	0	0	0	0	0	0	0
0.53	-1.96	0	0	0	0	0	0	0
0.54	-1.96	0	0	0	0	0	0	0
0.55	-1.96	0	0	0	0	0	0	0
0.56	-1.96	0	0	0	0	0	0	0
0.57	-1.96	0	0	0	0	0	0	0
0.58	-1.96	0	0	0	0	0	0	0
0.59	-1.96	0	0	0	0	0	0	0
0.6	-1.96	0	0	0	0	0	0	0
0.61	-1.96	0	0	0	0	0	0	0
0.62	-1.96	0	0	0	0	0	0	0
0.63	-1.96	0	0	0	0	0	0	0
0.64	-1.96	0	0	0	0	0	0	0
0.65	-1.96	0	0	0	0	0	0	0
0.66	-1.96	0	0	0	0	0	0	0
